Screen_ID,Flow_Stage,Main_Component,Consistency_Score,Avg_Time_On_Page(s),Click_Through_Rate,Drop_off_Rate,Accessibility_Errors,Design_System_Version,Visual_Friction_Index
Confirmation,Success,Success_Checkmark,85%,38,7,99%,8%,9,v1.1.5-legacy,6,1
Home,Landing,Hero_Banner,92%,24,4,102%,0%,0,v2.0.0-beta,3,9
Pet_Registration,Conversion,Form_Stepper,78%,3,3,67%,34%,4,v2.0.0-beta,2,9
Pet_Registration,Conversion,Form_Stepper,80%,10,5,59%,49%,10,v1.2.0,5
Confirmation,Success,Success_Checkmark,82%,29,7,97%,10%,10,v2.0.0-beta,2,8
Owner_Details,Information,Data_Grid,71%,5,6,76%,33%,10,v1.1.5-legacy,5,2
Home,Landing,Hero_Banner,80%,43,4,106%,4%,5,v2.0.0-beta,6
Pet_Registration,Conversion,Form_Stepper,68%,41,8,54%,56%,11,v1.1.5-legacy,3,1
Pet_Registration,Conversion,Form_Stepper,62%,16,4,63%,47%,3,v2.0.0-beta,8,1
Home,Landing,Hero_Banner,72%,18,2,106%,4%,8,v1.2.0,8,5
